step_or_iteration,tag,value
2030,train/grad_norm,0.42818596959114075
2040,train/grad_norm,0.7966495156288147
2050,train/grad_norm,0.6113585233688354
2060,train/grad_norm,0.3409709334373474
2070,train/grad_norm,0.38477012515068054
2080,train/grad_norm,0.2882064878940582
2090,train/grad_norm,0.32801416516304016
2100,train/grad_norm,0.33696284890174866
2110,train/grad_norm,0.2927570044994354
2120,train/grad_norm,0.5066044330596924
2130,train/grad_norm,0.3651435971260071
2140,train/grad_norm,0.4984278678894043
2150,train/grad_norm,0.3476104140281677
2160,train/grad_norm,0.423507958650589
2170,train/grad_norm,0.6264315247535706
2180,train/grad_norm,0.6150216460227966
2190,train/grad_norm,0.3971257209777832
2200,train/grad_norm,0.3712459206581116
2210,train/grad_norm,0.2592618763446808
2220,train/grad_norm,0.3666529953479767
2230,train/grad_norm,0.3389872908592224
2240,train/grad_norm,0.2859176993370056
2250,train/grad_norm,0.38631880283355713
2260,train/grad_norm,0.23434261977672577
2270,train/grad_norm,0.36469072103500366
2280,train/grad_norm,0.23411445319652557
2290,train/grad_norm,0.3258936405181885
2300,train/grad_norm,0.31591159105300903
2310,train/grad_norm,0.39216598868370056
2320,train/grad_norm,0.9222357273101807
2330,train/grad_norm,0.4757966995239258
2340,train/grad_norm,0.3290903568267822
2350,train/grad_norm,0.3171856105327606
2360,train/grad_norm,0.2797834575176239
2370,train/grad_norm,0.409213662147522
2380,train/grad_norm,0.5411468744277954
2390,train/grad_norm,0.3622960150241852
